* # Spawns: 272
**** OUTPUTS -->****:
t1,0.007894495
t2,0.007922935
t2-t1,0.000028440
t3,0.007923045
t4,0.007951305
t3-t4,0.000028260
t5,0.007951415
t5-t4,0.000000110
**** SYNC ****:
t6,0.007951535
t7,0.007951645
t7-t6,0.000000110
* # Spawns: 272
**** OUTPUTS -->****:
t1,0.007889535
t2,0.007917975
t2-t1,0.000028440
t3,0.007918085
t4,0.007946345
t3-t4,0.000028260
t5,0.007946455
t5-t4,0.000000110
**** SYNC ****:
t6,0.007946575
t7,0.007946685
t7-t6,0.000000110
* # Spawns: 272
**** OUTPUTS -->****:
t1,0.007892745
t2,0.007921185
t2-t1,0.000028440
t3,0.007921295
t4,0.007949555
t3-t4,0.000028260
t5,0.007949665
t5-t4,0.000000110
**** SYNC ****:
t6,0.007949785
t7,0.007949895
t7-t6,0.000000110
* # Spawns: 272
**** OUTPUTS -->****:
t1,0.007875414
t2,0.007903864
t2-t1,0.000028450
t3,0.007903974
t4,0.007932234
t3-t4,0.000028260
t5,0.007932344
t5-t4,0.000000110
**** SYNC ****:
t6,0.007932464
t7,0.007932574
t7-t6,0.000000110
* # Spawns: 272
**** OUTPUTS -->****:
t1,0.007868945
t2,0.007897385
t2-t1,0.000028440
t3,0.007897495
t4,0.007925755
t3-t4,0.000028260
t5,0.007925865
t5-t4,0.000000110
**** SYNC ****:
t6,0.007925985
t7,0.007926095
t7-t6,0.000000110
* # Spawns: 272
**** OUTPUTS -->****:
t1,0.007882465
t2,0.007910905
t2-t1,0.000028440
t3,0.007911015
t4,0.007939275
t3-t4,0.000028260
t5,0.007939385
t5-t4,0.000000110
**** SYNC ****:
t6,0.007939505
t7,0.007939615
t7-t6,0.000000110
* # Spawns: 272
**** OUTPUTS -->****:
t1,0.008142115
t2,0.008171455
t2-t1,0.000029340
t3,0.008171565
t4,0.008200725
t3-t4,0.000029160
t5,0.008200845
t5-t4,0.000000120
**** SYNC ****:
t6,0.008200965
t7,0.008201075
t7-t6,0.000000110
* # Spawns: 272
**** OUTPUTS -->****:
t1,0.007859145
t2,0.007887585
t2-t1,0.000028440
t3,0.007887705
t4,0.007915965
t3-t4,0.000028260
t5,0.007916075
t5-t4,0.000000110
**** SYNC ****:
t6,0.007916195
t7,0.007916305
t7-t6,0.000000110
* # Spawns: 272
**** OUTPUTS -->****:
t1,0.007875605
t2,0.007904045
t2-t1,0.000028440
t3,0.007904155
t4,0.007932415
t3-t4,0.000028260
t5,0.007932535
t5-t4,0.000000120
**** SYNC ****:
t6,0.007932655
t7,0.007932765
t7-t6,0.000000110
* # Spawns: 272
**** OUTPUTS -->****:
t1,0.007899565
t2,0.007927995
t2-t1,0.000028430
t3,0.007928115
t4,0.007956375
t3-t4,0.000028260
t5,0.007956485
t5-t4,0.000000110
**** SYNC ****:
t6,0.007956605
t7,0.007956715
t7-t6,0.000000110
* # Spawns: 272
**** OUTPUTS -->****:
t1,0.007924525
t2,0.007952965
t2-t1,0.000028440
t3,0.007953075
t4,0.007981335
t3-t4,0.000028260
t5,0.007981445
t5-t4,0.000000110
**** SYNC ****:
t6,0.007981565
t7,0.007981675
t7-t6,0.000000110
* # Spawns: 272
**** OUTPUTS -->****:
t1,0.007870905
t2,0.007899345
t2-t1,0.000028440
t3,0.007899455
t4,0.007927715
t3-t4,0.000028260
t5,0.007927825
t5-t4,0.000000110
**** SYNC ****:
t6,0.007927945
t7,0.007928055
t7-t6,0.000000110
* # Spawns: 272
**** OUTPUTS -->****:
t1,0.006058104
t2,0.006080064
t2-t1,0.000021960
t3,0.006080154
t4,0.006101934
t3-t4,0.000021780
t5,0.006102024
t5-t4,0.000000090
**** SYNC ****:
t6,0.006102124
t7,0.006102204
t7-t6,0.000000080
* # Spawns: 272
**** OUTPUTS -->****:
t1,0.007900005
t2,0.007928445
t2-t1,0.000028440
t3,0.007928555
t4,0.007956815
t3-t4,0.000028260
t5,0.007956935
t5-t4,0.000000120
**** SYNC ****:
t6,0.007957045
t7,0.007957155
t7-t6,0.000000110
* # Spawns: 272
**** OUTPUTS -->****:
t1,0.007895895
t2,0.007924335
t2-t1,0.000028440
t3,0.007924455
t4,0.007952715
t3-t4,0.000028260
t5,0.007952825
t5-t4,0.000000110
**** SYNC ****:
t6,0.007952935
t7,0.007953045
t7-t6,0.000000110
* # Spawns: 272
**** OUTPUTS -->****:
t1,0.007867795
t2,0.007896295
t2-t1,0.000028500
t3,0.007896415
t4,0.007924685
t3-t4,0.000028270
t5,0.007924795
t5-t4,0.000000110
**** SYNC ****:
t6,0.007924915
t7,0.007925025
t7-t6,0.000000110
* # Spawns: 272
**** OUTPUTS -->****:
t1,0.008059945
t2,0.008086605
t2-t1,0.000026660
t3,0.008086715
t4,0.008113205
t3-t4,0.000026490
t5,0.008113315
t5-t4,0.000000110
**** SYNC ****:
t6,0.008113425
t7,0.008113525
t7-t6,0.000000100
* # Spawns: 272
**** OUTPUTS -->****:
t1,0.007946955
t2,0.007973615
t2-t1,0.000026660
t3,0.007973725
t4,0.008000215
t3-t4,0.000026490
t5,0.008000325
t5-t4,0.000000110
**** SYNC ****:
t6,0.008000435
t7,0.008000535
t7-t6,0.000000100
* # Spawns: 272
**** OUTPUTS -->****:
t1,0.007998015
t2,0.008026445
t2-t1,0.000028430
t3,0.008026565
