threads, 32
j, 11 k, 4 , tkt1[j-1][k-1], 6.2e-07
j, 11 k, 5 , tkt1[j-1][k-1], 7.6e-07
j, 11 k, 6 , tkt1[j-1][k-1], 8.9e-07
j, 11 k, 7 , tkt1[j-1][k-1], 1.02e-06
j, 11 k, 8 , tkt1[j-1][k-1], 1.16e-06
j, 11 k, 9 , tkt1[j-1][k-1], 1.29e-06
j, 11 k, 10 , tkt1[j-1][k-1], 1.42e-06
j, 11 k, 1 , tkt2[j-1][k-1], 1.6e-07
j, 11 k, 2 , tkt2[j-1][k-1], 0.00013943
j, 11 k, 3 , tkt2[j-1][k-1], 0.00016971
j, 11 k, 4 , tkt2[j-1][k-1], 0.00022928
j, 11 k, 5 , tkt2[j-1][k-1], 0.00026459
j, 11 k, 6 , tkt2[j-1][k-1], 0.00029506
j, 11 k, 7 , tkt2[j-1][k-1], 0.00033304
j, 11 k, 8 , tkt2[j-1][k-1], 0.00037592
j, 11 k, 9 , tkt2[j-1][k-1], 0.00048811
j, 11 k, 10 , tkt2[j-1][k-1], 0.00051794
j, 11 t3-t2-t2-t1, 0.00055772
j, 12 k, 1 , tkt1[j-1][k-1], 1.8e-07
j, 12 k, 2 , tkt1[j-1][k-1], 3.2e-07
j, 12 k, 3 , tkt1[j-1][k-1], 4.5e-07
j, 12 k, 4 , tkt1[j-1][k-1], 5.9e-07
j, 12 k, 5 , tkt1[j-1][k-1], 7.2e-07
j, 12 k, 6 , tkt1[j-1][k-1], 8.5e-07
j, 12 k, 7 , tkt1[j-1][k-1], 9.8e-07
j, 12 k, 8 , tkt1[j-1][k-1], 1.11e-06
j, 12 k, 9 , tkt1[j-1][k-1], 1.25e-06
j, 12 k, 10 , tkt1[j-1][k-1], 1.39e-06
j, 12 k, 11 , tkt1[j-1][k-1], 1.52e-06
j, 12 k, 1 , tkt2[j-1][k-1], 1.6e-07
j, 12 k, 2 , tkt2[j-1][k-1], 6.836e-05
j, 12 k, 3 , tkt2[j-1][k-1], 0.00010432
j, 12 k, 4 , tkt2[j-1][k-1], 0.00020376
j, 12 k, 5 , tkt2[j-1][k-1], 0.00023605
j, 12 k, 6 , tkt2[j-1][k-1], 0.00028264
j, 12 k, 7 , tkt2[j-1][k-1], 0.00031607
j, 12 k, 8 , tkt2[j-1][k-1], 0.00035185
j, 12 k, 9 , tkt2[j-1][k-1], 0.00038564
j, 12 k, 10 , tkt2[j-1][k-1], 0.0004752
j, 12 k, 11 , tkt2[j-1][k-1], 0.00052454
j, 12 t3-t2-t2-t1, 0.0005695800000000001
j, 13 k, 1 , tkt1[j-1][k-1], 2.8e-07
j, 13 k, 2 , tkt1[j-1][k-1], 4.1e-07
j, 13 k, 3 , tkt1[j-1][k-1], 5.5e-07
j, 13 k, 4 , tkt1[j-1][k-1], 6.8e-07
j, 13 k, 5 , tkt1[j-1][k-1], 8.1e-07
j, 13 k, 6 , tkt1[j-1][k-1], 9.3e-07
j, 13 k, 7 , tkt1[j-1][k-1], 1.07e-06
j, 13 k, 8 , tkt1[j-1][k-1], 1.2e-06
j, 13 k, 9 , tkt1[j-1][k-1], 1.34e-06
j, 13 k, 10 , tkt1[j-1][k-1], 1.47e-06
j, 13 k, 11 , tkt1[j-1][k-1], 1.59e-06
j, 13 k, 12 , tkt1[j-1][k-1], 1.72e-06
j, 13 k, 1 , tkt2[j-1][k-1], 1.5e-07
j, 13 k, 2 , tkt2[j-1][k-1], 6.542e-05
j, 13 k, 3 , tkt2[j-1][k-1], 0.000146001
j, 13 k, 4 , tkt2[j-1][k-1], 0.000181131
j, 13 k, 5 , tkt2[j-1][k-1], 0.000234461
j, 13 k, 6 , tkt2[j-1][k-1], 0.000265271
j, 13 k, 7 , tkt2[j-1][k-1], 0.000340061
j, 13 k, 8 , tkt2[j-1][k-1], 0.000456521
j, 13 k, 9 , tkt2[j-1][k-1], 0.000486391
j, 13 k, 10 , tkt2[j-1][k-1], 0.000515911
j, 13 k, 11 , tkt2[j-1][k-1], 0.000568231
j, 13 k, 12 , tkt2[j-1][k-1], 0.000597021
j, 13 t3-t2-t2-t1, 0.0006283510000000001
j, 14 k, 1 , tkt1[j-1][k-1], 2.1e-07
j, 14 k, 2 , tkt1[j-1][k-1], 4e-07
j, 14 k, 3 , tkt1[j-1][k-1], 5.4e-07
j, 14 k, 4 , tkt1[j-1][k-1], 6.8e-07
j, 14 k, 5 , tkt1[j-1][k-1], 8.2e-07
j, 14 k, 6 , tkt1[j-1][k-1], 9.6e-07
j, 14 k, 7 , tkt1[j-1][k-1], 1.09e-06
j, 14 k, 8 , tkt1[j-1][k-1], 1.22e-06
j, 14 k, 9 , tkt1[j-1][k-1], 1.36e-06
j, 14 k, 10 , tkt1[j-1][k-1], 1.49e-06
j, 14 k, 11 , tkt1[j-1][k-1], 1.62e-06
j, 14 k, 12 , tkt1[j-1][k-1], 1.75e-06
j, 14 k, 13 , tkt1[j-1][k-1], 1.89e-06
j, 14 k, 1 , tkt2[j-1][k-1], 1.5e-07
j, 14 k, 2 , tkt2[j-1][k-1], 5.555e-05
j, 14 k, 3 , tkt2[j-1][k-1], 0.00010652
j, 14 k, 4 , tkt2[j-1][k-1], 0.00016158
j, 14 k, 5 , tkt2[j-1][k-1], 0.00019923
j, 14 k, 6 , tkt2[j-1][k-1], 0.0002391
j, 14 k, 7 , tkt2[j-1][k-1], 0.00029234
j, 14 k, 8 , tkt2[j-1][k-1], 0.00032178
j, 14 k, 9 , tkt2[j-1][k-1], 0.00039407
j, 14 k, 10 , tkt2[j-1][k-1], 0.00043166
j, 14 k, 11 , tkt2[j-1][k-1], 0.00047987
j, 14 k, 12 , tkt2[j-1][k-1], 0.00052387
j, 14 k, 13 , tkt2[j-1][k-1], 0.0005547
j, 14 t3-t2-t2-t1, 0.0005975
j, 15 k, 1 , tkt1[j-1][k-1], 1.3e-07
j, 15 k, 2 , tkt1[j-1][k-1], 2.4e-07
j, 15 k, 3 , tkt1[j-1][k-1], 3.6e-07
j, 15 k, 4 , tkt1[j-1][k-1], 4.6e-07
j, 15 k, 5 , tkt1[j-1][k-1], 5.7e-07
j, 15 k, 6 , tkt1[j-1][k-1], 6.7e-07
j, 15 k, 7 , tkt1[j-1][k-1], 7.8e-07
j, 15 k, 8 , tkt1[j-1][k-1], 8.8e-07
j, 15 k, 9 , tkt1[j-1][k-1], 9.9e-07
j, 15 k, 10 , tkt1[j-1][k-1], 1.09e-06
j, 15 k, 11 , tkt1[j-1][k-1], 1.2e-06
j, 15 k, 12 , tkt1[j-1][k-1], 1.31e-06
j, 15 k, 13 , tkt1[j-1][k-1], 1.41e-06
j, 15 k, 14 , tkt1[j-1][k-1], 1.52e-06
j, 15 k, 1 , tkt2[j-1][k-1], 1.2e-07
j, 15 k, 2 , tkt2[j-1][k-1], 0.00022605
j, 15 k, 3 , tkt2[j-1][k-1], 0.00026564
j, 15 k, 4 , tkt2[j-1][k-1], 0.00030307
j, 15 k, 5 , tkt2[j-1][k-1], 0.00033757
j, 15 k, 6 , tkt2[j-1][k-1], 0.00040078
j, 15 k, 7 , tkt2[j-1][k-1], 0.00046238
j, 15 k, 8 , tkt2[j-1][k-1], 0.00050336
j, 15 k, 9 , tkt2[j-1][k-1], 0.00054089
j, 15 k, 10 , tkt2[j-1][k-1], 0.00059755
j, 15 k, 11 , tkt2[j-1][k-1], 0.00064981
j, 15 k, 12 , tkt2[j-1][k-1], 0.000685921
j, 15 k, 13 , tkt2[j-1][k-1], 0.000744951
j, 15 k, 14 , tkt2[j-1][k-1], 0.000804701
j, 15 t3-t2-t2-t1, 0.000856151
j, 16 k, 1 , tkt1[j-1][k-1], 2.1e-07
j, 16 k, 2 , tkt1[j-1][k-1], 3.6e-07
j, 16 k, 3 , tkt1[j-1][k-1], 4.9e-07
j, 16 k, 4 , tkt1[j-1][k-1], 6.3e-07
j, 16 k, 5 , tkt1[j-1][k-1], 7.6e-07
j, 16 k, 6 , tkt1[j-1][k-1], 8.9e-07
